image_id,raw_mask_area,clean_mask_area,area_diff,area_keep_ratio,lost_pixels,normal_became_non_empty,crop_area_ratio,fallback,reason,mask_safety_fallback
IMG000001.jpeg,296413,296413,0,1.0,False,False,0.920946156240274,False,ok,False
IMG000002.jpeg,131932,131932,0,1.0,False,False,0.499390243902439,False,ok,False
IMG000003.jpeg,121129,121129,0,1.0,False,False,0.453427065026362,False,ok,False
IMG000004.jpeg,91831,91831,0,1.0,False,False,0.3014142533125358,False,ok,False
IMG000005.jpeg,89110,89110,0,1.0,False,False,0.3153131070838996,False,ok,False
IMG000006.jpeg,808123,808123,0,1.0,False,False,0.769459919144593,True,almost_full_image_edge_trimmed,False
IMG000007.jpeg,593354,593354,0,1.0,False,False,0.9569034317637668,True,almost_full_image_edge_trimmed,False
IMG000008.jpeg,61592,61592,0,1.0,False,False,0.8704075471698113,True,almost_full_image_edge_trimmed,False
IMG000009.jpeg,49835,49835,0,1.0,False,False,0.8744311183144247,True,almost_full_image_edge_trimmed,False
IMG000010.jpeg,131881,131881,0,1.0,False,False,1.0,True,almost_full_image,False
IMG000011.jpeg,305644,305644,0,1.0,False,False,1.0,True,mask_safety_fallback,True
IMG000012.jpeg,272030,272030,0,1.0,False,False,1.0,True,mask_safety_fallback,True
IMG000013.jpeg,182494,182494,0,1.0,False,False,1.0,True,almost_full_image,False
IMG000014.jpeg,155144,155144,0,1.0,False,False,0.8584195113788488,False,ok_edge_trimmed,False
IMG000015.jpeg,161954,161954,0,1.0,False,False,1.0,True,mask_safety_fallback,True
IMG000016.jpeg,120577,120577,0,1.0,False,False,0.6671302735280482,False,ok,False
IMG000017.jpeg,287904,287904,0,1.0,False,False,0.8023540951446788,False,ok,False
IMG000018.jpeg,400861,400861,0,1.0,False,False,0.6885245901639344,False,ok_edge_trimmed,False
IMG000019.jpeg,205821,205821,0,1.0,False,False,0.6989473684210527,False,ok,False
IMG000020.jpeg,252305,252305,0,1.0,False,False,1.0,True,mask_safety_fallback,True
IMG000021.jpeg,237135,237135,0,1.0,False,False,0.7845578412587035,False,ok,False
IMG000022.jpeg,329885,329885,0,1.0,False,False,0.5397232188621219,False,ok,False
